current_x,current_y,v_lineal,w_lineal
1.2864334172818517,1.2853851315392375,[0.10719518],[0.00168535]
1.2889631147169165,1.2879220254448458,[0.10586961],[0.00165772]
1.291537645566027,1.2905039577669541,[0.10452053],[0.00163358]
1.2940059283836132,1.292979397976476,[0.1032271],[0.00161299]
1.2964429072002945,1.2954234881918452,[0.10195007],[0.00159019]
1.2989225751635138,1.297910459319413,[0.10065065],[0.00156002]
1.3012993414947973,1.3002943142625045,[0.09940513],[0.0015222]
1.3036456448158416,1.3026477390275035,[0.09817555],[0.00147802]
1.3060320081660566,1.305041434955046,[0.09692495],[0.00140527]
1.3083154180266592,1.3073325996300331,[0.09572811],[0.00124088]
1.3105633196995798,1.309588853893759,[0.09454971],[0.00094193]
1.3128327965238518,1.3118682573622498,[0.0933596],[0.0002509]
1.3150274698810547,1.3140738520708233,[0.09220836],[5.09754618e-05]
1.3171999890864359,1.316257424809463,[0.09106867],[3.25925699e-06]
1.3194103259566894,1.3184791445777548,[0.08990911],[-4.99961324e-05]
1.3215285198534679,1.3206084470770887,[0.08879784],[-0.00011556]
1.3236197554111886,1.322710837424635,[0.08770066],[-0.00018108]
1.3257478298172225,1.3248504643064596,[0.0865841],[-0.00024521]
1.3277878779645778,1.326901785791314,[0.08551367],[-0.00030051]
1.3298020048002817,1.3289272151826192,[0.0844568],[-0.00034682]
1.3318515175167256,1.3309883782273388,[0.08338132],[-0.00038448]
1.3338161285122787,1.3329642702993185,[0.08235036],[-0.00041002]
1.3357557946429055,1.334915134625503,[0.08133248],[-0.00042791]
1.337728802624767,1.3368999033752944,[0.080297],[-0.00042568]
1.3395945053417986,1.338777045863032,[0.07931776],[-0.0003649]
1.3414329423640532,1.3406255820647932,[0.07835314],[0.00035789]
1.3432848494268115,1.3424845772128922,[0.07738218],[0.00158871]
